,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
0,TCS,3.8,853300,559,11400,IT Services & Consulting,100000.0,56,Mumbai,"['Job Security', ' Work Life Balance']","['Promotions / Appraisal', ' Salary & Benefits']"
1,Accenture,4.0,583100,5800,7000,IT Services & Consulting,100000.0,35,Dublin,"['Company Culture', ' Job Security', ' Skill Development / Learning']",['nan']
2,Cognizant,3.9,560500,525,5800,IT Services & Consulting,100000.0,30,Teaneck. new jersey.,['Skill Development / Learning'],['Promotions / Appraisal']
3,Wipro,3.8,415300,266,4900,IT Services & Consulting,100000.0,79,Bengaluru,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
4,HDFC Bank,3.9,131900,270,3200,Banking,100000.0,30,Mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
5,ICICI Bank,4.0,143600,216,3700,Banking,100000.0,30,Mumbai,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
6,Infosys,3.8,463700,1100,5100,IT Services & Consulting,100000.0,43,Bengaluru,"['Job Security', ' Company Culture', ' Skill Development / Learning']","['Salary & Benefits', ' Promotions / Appraisal']"
7,Capgemini,3.8,372700,675,3900,IT Services & Consulting,100000.0,57,Paris,"['Job Security', ' Work Life Balance', ' Skill Development / Learning']","['Promotions / Appraisal', ' Salary & Benefits']"
8,HCLTech,3.6,289800,471,4000,IT Services & Consulting,100000.0,33,Noida,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
9,Tech Mahindra,3.7,252100,886,3500,IT Services & Consulting,100000.0,38,Pune,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
10,Genpact,3.9,189300,898,3600,IT Services & Consulting,100000.0,27,New york,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']","['Salary & Benefits', ' Promotions / Appraisal']"
11,Axis Bank,3.8,98200,311,2200,Banking,50.0,31,Mumbai,['Job Security'],['nan']
12,Concentrix Corporation,3.9,104600,112,3300,BPO,50.0,41,Fremont,"['Job Security', ' Company Culture']","['Promotions / Appraisal', ' Salary & Benefits']"
13,Amazon,4.2,141500,689,4200,Internet,100000.0,30,Seattle,"['Company Culture', ' Salary & Benefits', ' Work Life Balance']",['nan']
14,Teleperformance,3.5,75300,246,2000,BPO,50.0,46,Paris,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
15,Reliance Jio,4.0,67600,131,2600,Telecom,50.0,17,Navi mumbai,"['Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
16,IBM,4.1,224200,2600,2700,Software Product,100000.0,113,Armonk,"['Work Life Balance', ' Job Security', ' Skill Development / Learning']",['Promotions / Appraisal']
17,Larsen & Toubro Limited,4.0,79200,80,2900,Engineering & Construction,10.0,86,Mumbai,"['Job Security', ' Skill Development / Learning']",['nan']
18,Reliance Retail,3.9,58900,248,2000,Retail,100000.0,18,Navi Mumbai,"['Skill Development / Learning', ' Job Security']",['Promotions / Appraisal']
19,HDB Financial Services,4.0,50500,45,1500,NBFC,100000.0,17,Ahmedabad,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['Promotions / Appraisal']
20,Vodafone Idea,4.2,61300,336,2000,,5.0,6,Mumbai,"['Company Culture', ' Work Life Balance', ' Salary & Benefits']",['nan']
21,BYJU'S,3.1,55400,885,1900,EdTech,10.0,13,Bengaluru,['nan'],"['Job Security', ' Work Life Balance', ' Company Culture']"
22,Deloitte,3.9,174700,279,2500,Management Consulting,100000.0,179,London,"['Job Security', ' Salary & Benefits', ' Skill Development / Learning']",['nan']
23,Kotak Mahindra Bank,3.8,77900,304,1300,Banking,50.0,21,Mumbai,['Job Security'],['Promotions / Appraisal']
24,Reliance Industries,4.0,66500,36,1900,Oil & Gas,100000.0,47,Navi mumbai,"['Job Security', ' Skill Development / Learning', ' Work Life Balance']",['Promotions / Appraisal']
25,Bharti Airtel,4.0,44800,313,1600,Telecom,10.0,29,Gurgaon/gurugram,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
26,iEnergizer,4.6,17700,69,508,BPO,10.0,24,Noida,"['Company Culture', ' Skill Development / Learning', ' Job Security']",['nan']
27,Tata Motors,4.2,43000,18,1700,Automobile,10.0,79,Pune,"['Job Security', ' Skill Development / Learning', ' Company Culture']",['nan']
28,Flipkart,4.1,47200,411,1500,Internet,10.0,17,Bengaluru,"['Skill Development / Learning', ' Company Culture', ' Job Security']",['nan']
29,WNS,3.5,54600,123,1400,BPO,10.0,28,Mumbai,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
30,IndusInd Bank,3.7,47000,276,800,Banking,10.0,30,Gurgaon/gurugram,['nan'],"['Promotions / Appraisal', ' Salary & Benefits', ' Work Satisfaction']"
31,Ernst & Young,3.6,123500,1800,1300,Management Consulting,50.0,22,London,['Job Security'],"['Work Life Balance', ' Work Satisfaction', ' Promotions / Appraisal']"
32,AU Small Finance Bank,4.5,18100,157,488,Banking,10.0,28,Jaipur,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
